,DOCNUM,POSTING DATE,EFFECTIVE DATE,CREATE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,Description,QUANTITY,RATE,BP CATEGORY,TRANSPORTER NAME,Vehicle Type,Business Heads,U_AssetClass,FlowName,Loss
2,TN/331900024,2019-12-03,2019-12-03,2019-12-03,10002721,Lucas TVS LTD _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10002721,Lucas TVS LTD - Chennai,TN01,branch_Chennai,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,68,2300,Non-OEM,21000182,20ft Vehicle,Abhiman Jairam,FLC - Small,LUCAS TVS-CHENNAI-LUCAS TVS-CHENNAI,156400
14,AP/371900002,2019-12-04,2019-12-04,2019-12-04,10003015,ABC  WORKS _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10003015,ABC  WORKS _ Chennai,TN01,branch_Chennai,Return,5500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,58,2300,OEM,21000221,20ft Vehicle,Abhiman Jairam,FLC - Small,ABIENGG-Chennai-ABIENGG-Chennai,133400
19,AP/371900006,2019-12-04,2019-12-04,2019-12-04,10002959,BRAC India PVT LTD _ Sanand,AUTO,West,RENTAL,Sanand,Gujarat,10002959,BRAC India PVT. LTD. - Sanand,GJ02,branch_Kanera,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,72,2300,OEM,21000182,17ft Vehicle,Amrut Dsak,FLC - Small,BRAC-SANAND-BRAC-SANAND,165600
20,UP/91900025,2019-12-04,2019-12-04,2019-12-04,10002879,Shri Raman Enterprises _ Lucknow,AUTO,North,RENTAL,Lucknow,Uttar Pradesh,10002879,Shri Raman Enterprises - Lucknow,UP02,branch_Lucknow,Return,0.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,26,2300,Non-OEM,21000182,19ft Vehicle,Anup Soni,FLC - Small,SHREE RAMA-LUCKNOW-SHREE RAMA-LUCKNOW,59800
21,TN/331900042,2019-12-04,2019-12-04,2019-12-04,10002721,Lucas TVS LTD _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10002721,Lucas TVS LTD - Chennai,TN01,branch_Chennai,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,33,2300,Non-OEM,LOGICAL TECH LLP,20ft Vehicle,Abhiman Jairam,FLC - Small,LUCAS TVS-CHENNAI-LUCAS TVS-CHENNAI,75900
24,TN/331900031,2019-12-04,2019-12-04,2019-12-04,10002885,Ashoka Pvt Ltd _ Hosur _ Unit I,AUTO,South,RENTAL,Hosur,Tamil Nadu,10002885,Ashoka Pvt Ltd - Hosur - Unit I,TN01,branch_Chennai,Return,10000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,29,2300,OEM,Cresel Roadways Pvt. Ltd.,17ft Vehicle,Abhiman Jairam,FLC - Small,ALL-HOSUR UNIT 1-ALL-HOSUR UNIT 1,66700
32,Primary/56,2019-12-04,2019-12-04,2019-12-04,10002698,TMO Limited Sanand _ Ahmedabad,AUTO,West,RENTAL,Ahmedabad,Gujarat,10002698,TMO Limited Sanand - Ahmedabad,MH02,branch_Pune,Return,22000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,69,2300,OEM,LOGICAL TECH LLP,20ft Vehicle,Amrut Dsak,FLC - Small,TATA MOTO -AHMEDABAD-TATA MOTO -AHMEDABAD,158700
36,Primary/156,2019-12-05,2019-12-05,2019-12-05,10002880,Maha AM Ltd _ Mumbai,AUTO,West,RENTAL,Mumbai,Maharashtra,10002880,Maha AM Ltd. - Mumbai,MH03,branch_Bhiwandi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,16,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,M&M-MUMBAI-OLD 1ST-M&M-MUMBAI-OLD 1ST,36800
40,AP/371900008,2019-12-05,2019-12-05,2019-12-05,10002924,TMO Ltd _ Lucknow,AUTO,North,RENTAL,Lucknow,Uttar Pradesh,10002924,TMO Ltd - Lucknow,UP02,branch_Lucknow,Return,5000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,100,2300,OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,TMO -LUCKNOW-TMO -LUCKNOW,230000
44,AP/371900007,2019-12-05,2019-12-05,2019-12-05,10002911,Maha AM LTD _ Rudrapur,AUTO,North,RENTAL,Rudrapur,Uttarakhand,10002911,Maha AM LTD. - Rudrapur,UT01,branch_Rudrapur,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,58,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,M&M-RUDRAPUR-M&M-RUDRAPUR,133400
57,TN/331900089,2019-12-06,2019-12-06,2019-12-06,10002721,Lucas TVS LTD _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10002721,Lucas TVS LTD - Chennai,TN01,branch_Chennai,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,49,2300,Non-OEM,LOGICAL TECH LLP,20ft Vehicle,Abhiman Jairam,FLC - Small,LUCAS TVS-CHENNAI-LUCAS TVS-CHENNAI,112700
60,TN/331900078,2019-12-06,2019-12-06,2019-12-06,10002883,TURBINE PVT LTD _ Kanchipuram,AUTO,South,RENTAL,Kanchipuram,Tamil Nadu,10002883,TURBINE PVT LTD - Kanchipuram,TN01,branch_Chennai,Return,3700.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,17,2300,Non-OEM,SRI VENKATESWARIYA TRANSPORT,Pick Up,Abhiman Jairam,FLC - Small,TURBO-KANCHEEPURAM-TURBO-KANCHEEPURAM,39100
67,Primary/309,2019-12-06,2019-12-06,2019-12-06,10002698,TMO Limited Sanand _ Ahmedabad,AUTO,West,RENTAL,Ahmedabad,Gujarat,10002698,TMO Limited Sanand - Ahmedabad,MH02,branch_Pune,Return,28000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,172,2300,OEM,LOGICAL TECH LLP,32ft SXL,Amrut Dsak,FLC - Small,TATA MOTO -AHMEDABAD-TATA MOTO -AHMEDABAD,395600
68,Primary/279,2019-12-06,2019-12-06,2019-12-06,10002880,Maha AM Ltd _ Mumbai,AUTO,West,RENTAL,Mumbai,Maharashtra,10002880,Maha AM Ltd. - Mumbai,MH03,branch_Bhiwandi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,21,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,M&M-MUMBAI-OLD 1ST-M&M-MUMBAI-OLD 1ST,48300
70,AP/371900022,2019-12-06,2019-12-06,2019-12-06,10002960,TVT Log  Ltd _ Becharaji,AUTO,West,RENTAL,Becharaji,Gujarat,10002960,TVT Log  Ltd. - Becharaji,GJ02,branch_Kanera,Return,6.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,25,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,TVS LOGI-BECHARAJI-TVS LOGI-BECHARAJI,57500
72,UT/51900009,2019-12-06,2019-12-04,2019-12-06,10002977,Shri Niyan Engg_ Rudrapur,AUTO,North,RENTAL,Rudrapur,Uttarakhand,10002977,Shri Niyan Engg- Rudrapur,UT01,branch_Rudrapur,Return,0.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,11,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,SHRINIWAS-RUDRAPUR-SHRINIWAS-RUDRAPUR,25300
79,Primary/418,2019-12-06,2019-12-06,2019-12-06,10002851,TMO Limited _Pimpri _ pune,AUTO,West,RENTAL,Pune,Maharashtra,10002851,TMO Limited (Pimpri) - pune,MH02,branch_Pune,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,48,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,TMO -PUNE-TMO -PUNE,110400
91,AP/371900012,2019-12-06,2019-12-06,2019-12-06,10002916,TMO Ltd _ Pantnagar,AUTO,North,RENTAL,Pantnagar,Uttarakhand,10002916,TMO Ltd - Pantnagar,UT01,branch_Rudrapur,Return,3300.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,58,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,TATA MOTO -PANTNAGAR-TATA MOTO -PANTNAGAR,133400
102,AP/371900026,2019-12-07,2019-12-07,2019-12-07,10002698,TMO Limited Sanand _ Ahmedabad,AUTO,West,RENTAL,Ahmedabad,Gujarat,10002698,TMO Limited Sanand - Ahmedabad,GJ02,branch_Kanera,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,90,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,TATA MOTO -AHMEDABAD-TATA MOTO -AHMEDABAD,207000
106,Primary/460,2019-12-07,2019-12-07,2019-12-07,10002906,Maha AM Ltd_ Nashik,AUTO,West,RENTAL,Nashik,Maharashtra,10002906,Maha AM Ltd- Nashik,MH02,branch_Pune,Return,8500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,17,2300,OEM,MITTALI LOGISTICS  PRIVATE LIMI,20ft Vehicle,Amrut Dsak,FLC - Small,M&M-NASHIK-M&M-NASHIK,39100
113,AP/371900024,2019-12-07,2019-12-07,2019-12-07,10002923,Swara L Ltd _ Mohali,AUTO,North,RENTAL,Mohali,Punjab,10002923,Swara L Ltd - Mohali,HY01,branch_Pataudi,Return,9000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,35,2300,OEM,NV1 Logistics Pvt. Ltd.,17ft Vehicle,Anup Soni,FLC - Small,SWARAJ ENGINE-MOHALI-SWARAJ ENGINE-MOHALI,80500
116,TN/331900136,2019-12-07,2019-12-07,2019-12-07,10002927,RICA INDUSTRIES LTD _ Kanchipuram,AUTO,South,RENTAL,Kanchipuram,Tamil Nadu,10002927,RICA INDUSTRIES LTD - Kanchipuram,TN01,branch_Chennai,Return,5800.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,70,2300,Non-OEM,XPRESSBEEX,20ft Vehicle,Abhiman Jairam,FLC - Small,RICO-KANCHEEPURAM-RICO-KANCHEEPURAM,161000
118,AP/371900029,2019-12-07,2019-12-07,2019-12-07,10002911,Maha AM LTD _ Rudrapur,AUTO,North,RENTAL,Rudrapur,Uttarakhand,10002911,Maha AM LTD. - Rudrapur,UT01,branch_Rudrapur,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,34,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,M&M-RUDRAPUR-M&M-RUDRAPUR,78200
122,AP/371900025,2019-12-07,2019-12-07,2019-12-07,10002923,Swara L Ltd _ Mohali,AUTO,North,RENTAL,Mohali,Punjab,10002923,Swara L Ltd - Mohali,HY01,branch_Pataudi,Return,9000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,45,2300,OEM,NV1 Logistics Pvt. Ltd.,20ft Vehicle,Anup Soni,FLC - Small,SWARAJ ENGINE-MOHALI-SWARAJ ENGINE-MOHALI,103500
127,AP/371900032,2019-12-08,2019-12-08,2019-12-08,10002839,GARG PVT Ltd _ Gurgaon_Manesar,AUTO,North,RENTAL,Gurgaon,Haryana,10002839,GARG PVT Ltd - Gurgaon(Manesar),HY01,branch_Pataudi,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,69,2300,Non-OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,GABRIEL-MANESAR-GURG-GABRIEL-MANESAR-GURG,158700
129,AP/371900033,2019-12-08,2019-12-08,2019-12-08,10002839,GARG PVT Ltd _ Gurgaon_Manesar,AUTO,North,RENTAL,Gurgaon,Haryana,10002839,GARG PVT Ltd - Gurgaon(Manesar),HY01,branch_Pataudi,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,34,2300,Non-OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,GABRIEL-MANESAR-GURG-GABRIEL-MANESAR-GURG,78200
132,AP/371900030,2019-12-08,2019-12-08,2019-12-08,10002839,GARG PVT Ltd _ Gurgaon_Manesar,AUTO,North,RENTAL,Gurgaon,Haryana,10002839,GARG PVT Ltd - Gurgaon(Manesar),HY01,branch_Pataudi,Return,5500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,130,2300,Non-OEM,LOGICAL TECH LLP,32ft SXL,Anup Soni,FLC - Small,GABRIEL-MANESAR-GURG-GABRIEL-MANESAR-GURG,299000
133,AP/371900031,2019-12-08,2019-12-08,2019-12-08,10002907,BRAC INDIA PRIVATE LIMITED _ Bawal,AUTO,North,RENTAL,Bawal,Haryana,10002907,BRAC INDIA PRIVATE LIMITED - Bawal,HY01,branch_Pataudi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,77,2300,OEM,LOGICAL TECH LLP,20ft Vehicle,Anup Soni,FLC - Small,BRAC-BAWAL-BRAC-BAWAL,177100
142,Primary/732,2019-12-09,2019-12-09,2019-12-09,10003010,UCAL FUEL SYSTEMS LTD _ PUNE,AUTO,West,RENTAL,Pune,Maharashtra,10003010,UCAL FUEL SYSTEMS LTD. - PUNE,MH02,branch_Pune,Return,2000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,40,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,UCAL FUEL-PUNE-UCAL FUEL-PUNE,92000
143,Primary/739,2019-12-09,2019-12-09,2019-12-09,10002698,TMO Limited Sanand _ Ahmedabad,AUTO,West,RENTAL,Ahmedabad,Gujarat,10002698,TMO Limited Sanand - Ahmedabad,MH02,branch_Pune,Return,30000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,132,2300,OEM,LOGICAL TECH LLP,32ft SXL,Amrut Dsak,FLC - Small,TATA MOTO -AHMEDABAD-TATA MOTO -AHMEDABAD,303600
144,AP/371900044,2019-12-09,2019-12-09,2019-12-09,10002934,Ucal Radiant Consultancy _Rudrapur _ Rudrapur,AUTO,North,RENTAL,Rudrapur,Uttarakhand,10002934,Radiant Consultancy (Rudrapur) - Rudrapur,UT01,branch_Rudrapur,Return,2000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,6,2300,OEM,LOGICAL TECH LLP,Tata 407,Anup Soni,FLC - Small,RADIANT CON-RUDRAPUR-RADIANT CON-RUDRAPUR,13800
145,AP/371900039,2019-12-09,2019-12-09,2019-12-09,10002961,TVT Log  Ltd _ Jamalpur,AUTO,North,RENTAL,Jamalpur,Haryana,10002961,TVT Log  Ltd. - Jamalpur,HY01,branch_Pataudi,Return,2500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,27,2300,OEM,LOGICAL TECH LLP,Tata 407,Anup Soni,FLC - Small,TVS LOGI-JAMALPUR-TVS LOGI-JAMALPUR,62100
150,TN/331900147,2019-12-09,2019-12-09,2019-12-09,10002721,Lucas TVS LTD _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10002721,Lucas TVS LTD - Chennai,TN01,branch_Chennai,Return,4000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,45,2300,Non-OEM,LOGICAL TECH LLP,17ft Vehicle,Abhiman Jairam,FLC - Small,LUCAS TVS-CHENNAI-LUCAS TVS-CHENNAI,103500
165,AP/371900038,2019-12-09,2019-12-09,2019-12-09,10002839,GARG PVT Ltd _ Gurgaon_Manesar,AUTO,North,RENTAL,Gurgaon,Haryana,10002839,GARG PVT Ltd - Gurgaon(Manesar),HY01,branch_Pataudi,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,70,2300,Non-OEM,LOGICAL TECH LLP,20ft Vehicle,Anup Soni,FLC - Small,GABRIEL-MANESAR-GURG-GABRIEL-MANESAR-GURG,161000
172,AP/371900045,2019-12-09,2019-12-09,2019-12-09,10002907,BRAC INDIA PRIVATE LIMITED _ Bawal,AUTO,North,RENTAL,Bawal,Haryana,10002907,BRAC INDIA PRIVATE LIMITED - Bawal,HY01,branch_Pataudi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,60,2300,OEM,LOGICAL TECH LLP,20ft Vehicle,Anup Soni,FLC - Small,BRAC-BAWAL-BRAC-BAWAL,138000
174,AP/371900057,2019-12-09,2019-12-09,2019-12-09,10002959,BRAC India PVT LTD _ Sanand,AUTO,West,RENTAL,Sanand,Gujarat,10002959,BRAC India PVT. LTD. - Sanand,GJ02,branch_Kanera,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,50,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,BRAC-SANAND-BRAC-SANAND,115000
179,AP/371900054,2019-12-09,2019-12-09,2019-12-09,10002907,BRAC INDIA PRIVATE LIMITED _ Bawal,AUTO,North,RENTAL,Bawal,Haryana,10002907,BRAC INDIA PRIVATE LIMITED - Bawal,HY01,branch_Pataudi,Return,5500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,73,2300,OEM,LOGICAL TECH LLP,22ft Vehicle,Anup Soni,FLC - Small,BRAC-BAWAL-BRAC-BAWAL,167900
181,UT/51900019,2019-12-09,2019-12-09,2019-12-09,10002932,SREE BALA CASTINGS_ Rudrapur,AUTO,North,RENTAL,Rudrapur,Uttarakhand,10002932,SREE BALA CASTINGS- Rudrapur,UT01,branch_Rudrapur,Return,0.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,11,2300,OEM,LOGICAL TECH LLP,Tata 407,Anup Soni,FLC - Small,BALAJI CAST-RUDRAPUR-BALAJI CAST-RUDRAPUR,25300
184,AP/371900046,2019-12-09,2019-12-09,2019-12-09,10002907,BRAC INDIA PRIVATE LIMITED _ Bawal,AUTO,North,RENTAL,Bawal,Haryana,10002907,BRAC INDIA PRIVATE LIMITED - Bawal,HY01,branch_Pataudi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,77,2300,OEM,LOGICAL TECH LLP,20ft Vehicle,Anup Soni,FLC - Small,BRAC-BAWAL-BRAC-BAWAL,177100
187,AP/371900047,2019-12-09,2019-12-09,2019-12-09,10002935,ESCORD LTD _ Faridabad,AUTO,North,RENTAL,Faridabad,Haryana,10002935,ESCORTS LTD - Faridabad,HY01,branch_Pataudi,Return,7500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,45,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,ESCORTS-FARIDABAD-ESCORTS-FARIDABAD,103500
191,UT/51900027,2019-12-10,2019-12-10,2019-12-10,10002916,TMO Ltd _ Pantnagar,AUTO,North,RENTAL,Pantnagar,Uttarakhand,10002916,TMO Ltd - Pantnagar,UT01,branch_Rudrapur,Return,3200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,41,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,TATA MOTO -PANTNAGAR-TATA MOTO -PANTNAGAR,94300
195,UT/51900025,2019-12-10,2019-12-10,2019-12-10,10002916,TMO Ltd _ Pantnagar,AUTO,North,RENTAL,Pantnagar,Uttarakhand,10002916,TMO Ltd - Pantnagar,UT01,branch_Rudrapur,Return,3500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,64,2300,OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,TATA MOTO -PANTNAGAR-TATA MOTO -PANTNAGAR,147200
197,UP/91900148,2019-12-10,2019-12-10,2019-12-10,10002924,TMO Ltd _ Lucknow,AUTO,North,RENTAL,Lucknow,Uttar Pradesh,10002924,TMO Ltd - Lucknow,UP02,branch_Lucknow,Return,5000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,58,2300,OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,TMO -LUCKNOW-TMO -LUCKNOW,133400
204,AP/371900176,2019-12-10,2019-12-10,2019-12-10,10002698,TMO Limited Sanand _ Ahmedabad,AUTO,West,RENTAL,Ahmedabad,Gujarat,10002698,TMO Limited Sanand - Ahmedabad,GJ02,branch_Kanera,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,85,2300,OEM,LOGICAL TECH LLP,19ft Vehicle,Amrut Dsak,FLC - Small,TATA MOTO -AHMEDABAD-TATA MOTO -AHMEDABAD,195500
207,AP/371900124,2019-12-10,2019-12-10,2019-12-10,10002839,GARG PVT Ltd _ Gurgaon_Manesar,AUTO,North,RENTAL,Gurgaon,Haryana,10002839,GARG PVT Ltd - Gurgaon(Manesar),HY01,branch_Pataudi,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,63,2300,Non-OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,GABRIEL-MANESAR-GURG-GABRIEL-MANESAR-GURG,144900
209,UP/91900142,2019-12-10,2019-12-10,2019-12-10,10002924,TMO Ltd _ Lucknow,AUTO,North,RENTAL,Lucknow,Uttar Pradesh,10002924,TMO Ltd - Lucknow,UP02,branch_Lucknow,Return,5000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,76,2300,OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,TMO -LUCKNOW-TMO -LUCKNOW,174800
212,UT/51900029,2019-12-10,2019-12-10,2019-12-10,10002904,Ashoka Pvt Ltd _ Pantnagar,AUTO,North,RENTAL,Pantnagar,Uttarakhand,10002904,Ashoka Pvt Ltd - Pantnagar,UT01,branch_Rudrapur,Return,3500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,39,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,ALL-PANTNAGAR-ALL-PANTNAGAR,89700
214,AP/371900170,2019-12-10,2019-12-10,2019-12-10,10002851,TMO Limited _Pimpri _ pune,AUTO,West,RENTAL,Pune,Maharashtra,10002851,TMO Limited (Pimpri) - pune,MH02,branch_Pune,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,36,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,TMO -PUNE-TMO -PUNE,82800
219,Primary/913,2019-12-10,2019-12-10,2019-12-10,10002880,Maha AM Ltd _ Mumbai,AUTO,West,RENTAL,Mumbai,Maharashtra,10002880,Maha AM Ltd. - Mumbai,MH03,branch_Bhiwandi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,13,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,M&M-MUMBAI-OLD 1ST-M&M-MUMBAI-OLD 1ST,29900
220,Primary/858,2019-12-10,2019-12-10,2019-12-10,10002851,TMO Limited _Pimpri _ pune,AUTO,West,RENTAL,Pune,Maharashtra,10002851,TMO Limited (Pimpri) - pune,MH02,branch_Pune,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,35,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,TMO -PUNE-TMO -PUNE,80500
227,AP/371900109,2019-12-10,2019-12-10,2019-12-10,10002929,Harmilap Logistics service _ Neemrana,AUTO,North,RENTAL,Neemrana,Rajasthan,10002929,Harmilap Logistics service - Neemrana,HY01,branch_Pataudi,Return,6200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,40,2300,OEM,LOGICAL TECH LLP,32ft SXL,Anup Soni,FLC - Small,HARMILAP-NEEMRANA-HARMILAP-NEEMRANA,92000
229,UT/51900035,2019-12-10,2019-12-10,2019-12-10,10002916,TMO Ltd _ Pantnagar,AUTO,North,RENTAL,Pantnagar,Uttarakhand,10002916,TMO Ltd - Pantnagar,UT01,branch_Rudrapur,Return,3200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,57,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,TATA MOTO -PANTNAGAR-TATA MOTO -PANTNAGAR,131100
249,TN/331900219,2019-12-11,2019-12-11,2019-12-11,10003005,JAI WAREHOUSE _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10003005,JAI WAREHOUSE _ Chennai,TN01,branch_Chennai,Return,2300.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,14,2300,Non-OEM,LOGICAL TECH LLP,Pick Up,Abhiman Jairam,FLC - Small,JAI HIND-CHENNAI-JAI HIND-CHENNAI,32200
262,MH/271900163,2019-12-12,2019-12-12,2019-12-12,10002948,Maha VM _ Chakan_Pune,AUTO,West,RENTAL,Pune,Maharashtra,10002948,Maha VM _ Chakan_Pune,MH02,branch_Pune,Return,2000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,9,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,M VEHICLES-CHAKAN-M VEHICLES-CHAKAN,20700
265,AP/371900201,2019-12-12,2019-12-12,2019-12-12,10003027,UCAL FUEL SYSTEMS LTD _ Bawal,AUTO,North,RENTAL,Bawal,Haryana,10003027,UCAL FUEL SYSTEMS LTD - Bawal,HY01,branch_Pataudi,Return,2500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,12,2300,OEM,NV1 Logistics Pvt. Ltd.,Pick Up,Anup Soni,FLC - Small,UCAL-Bawal-UCAL-Bawal,27600
